series_path,episode_path,title,language,episode,web_url,audio_url,video_url,operation_id,time,audio,timings
conversations-with-tyler,20-malcolm-gladwell-tyler-cowen,Malcolm Gladwell Wants to Make the World Safe for Mediocrity, en-US ,20 ,https://medium.com/conversations-with-tyler/malcolm-gladwell-podcast-outliers-tyler-cowen-3abdf99068ee,https://traffic.libsyn.com/secure/cowenconvos/3 2517078-conversationswithtyler-malcolm-gladwell-podcast.mp3, https://youtu.be/ehlhrqSWPbo,,,, 20-malcolm-gladwell-times.json
on-being-with-krista-tippett,2018-02-02-brené-brown,"Brené Brown Strong Back, Soft Front, Wild Heart",en-US,,https://onbeing.org/programs/brene-brown-strong-back-soft-front-wild-heart-feb2018/,http://feeds.soundcloud.com/stream/396515874-brene-brown-strong-back-soft-front-wild-heart-feb2018.mp3,https://youtu.be/ehlhrqSWPbo,,,,
